m	n	d	result	time
1000000	43000	340986	true	100
1000000	43000	340986	true	100
1000000	43000	340986	true	100
1000000	44000	347032	false	200
1000000	44000	347032	false	100
1000000	44000	347032	false	0
1000000	44000	347032	false	0
1000000	44000	347032	false	100
1000000	44000	347032	false	100
1000000	44000	347032	false	100
1000000	44000	347032	false	0
1000000	44000	347032	false	0
1000000	44000	347032	false	100
1000000	45000	353120	false	400
1000000	45000	353120	false	100
1000000	45000	353120	false	200
1000000	45000	353120	false	100
1000000	45000	353120	false	200
1000000	45000	353120	false	100
1000000	45000	353120	false	100
1000000	45000	353120	false	100
1000000	45000	353120	false	100
1000000	45000	353120	false	100
1000000	46000	359020	false	300
1000000	46000	359020	false	100
1000000	46000	359020	false	0
1000000	46000	359020	false	100
1000000	46000	359020	false	0
1000000	46000	359020	false	100
1000000	46000	359020	false	0
1000000	46000	359020	false	100
1000000	46000	359020	false	0
1000000	46000	359020	false	100
1000000	47000	364800	false	200
1000000	47000	364800	false	0
1000000	47000	364800	false	0
1000000	47000	364800	false	0
1000000	47000	364800	false	0
1000000	47000	364800	false	100
1000000	47000	364800	false	100
1000000	47000	364800	false	100
1000000	47000	364800	false	0
1000000	47000	364800	false	0
1000000	48000	370539	true	200
1000000	48000	370539	true	100
1000000	48000	370539	true	100
1000000	48000	370539	true	100
1000000	48000	370539	true	100
1000000	48000	370539	true	100
1000000	48000	370539	true	100
1000000	48000	370539	true	100
1000000	48000	370539	true	100
1000000	48000	370539	true	0
1000000	49000	376168	true	199
1000000	49000	376168	true	100
1000000	49000	376168	true	100
1000000	49000	376168	true	0
1000000	49000	376168	true	100
1000000	49000	376168	true	100
1000000	49000	376168	true	0
1000000	49000	376168	true	0
1000000	49000	376168	true	100
1000000	49000	376168	true	100
1000000	50000	381726	true	300
1000000	50000	381726	true	200
1000000	50000	381726	true	100
1000000	50000	381726	true	100
1000000	50000	381726	true	100
1000000	50000	381726	true	100
1000000	50000	381726	true	100
1000000	50000	381726	true	0
1000000	50000	381726	true	100
1000000	50000	381726	true	0
1000000	51000	387276	true	300
1000000	51000	387276	true	100
1000000	51000	387276	true	0
1000000	51000	387276	true	0
1000000	51000	387276	true	100
1000000	51000	387276	true	0
1000000	51000	387276	true	100
1000000	51000	387276	true	0
1000000	51000	387276	true	100
1000000	51000	387276	true	0
1000000	52000	392685	false	300
1000000	52000	392685	false	200
1000000	52000	392685	false	100
1000000	52000	392685	false	99
1000000	52000	392685	false	0
1000000	52000	392685	false	100
1000000	52000	392685	false	100
1000000	52000	392685	false	0
1000000	52000	392685	false	100
1000000	52000	392685	false	100
1000000	53000	398039	true	200
1000000	53000	398039	true	100
1000000	53000	398039	true	0
1000000	53000	398039	true	99
1000000	53000	398039	true	100
1000000	53000	398039	true	0
1000000	53000	398039	true	100
1000000	53000	398039	true	100
1000000	53000	398039	true	100
1000000	53000	398039	true	0
1000000	54000	403399	true	300
1000000	54000	403399	true	100
1000000	54000	403399	true	100
1000000	54000	403399	true	100
1000000	54000	403399	true	0
1000000	54000	403399	true	0
1000000	54000	403399	true	0
1000000	54000	403399	true	0
1000000	54000	403399	true	100
1000000	54000	403399	true	0
1000000	55000	408634	true	200
1000000	55000	408634	true	0
1000000	55000	408634	true	0
1000000	55000	408634	true	100
1000000	55000	408634	true	99
1000000	55000	408634	true	100
1000000	55000	408634	true	100
1000000	55000	408634	true	0
1000000	55000	408634	true	100
1000000	55000	408634	true	100
1000000	56000	413526	true	101
1000000	56000	413526	true	0
1000000	56000	413526	true	0
1000000	56000	413526	true	0
1000000	56000	413526	true	100
1000000	56000	413526	true	100
1000000	56000	413526	true	0
1000000	56000	413526	true	0
1000000	56000	413526	true	100
1000000	56000	413526	true	0
1000000	57000	418660	true	300
1000000	57000	418660	true	100
1000000	57000	418660	true	100
1000000	57000	418660	true	0
1000000	57000	418660	true	0
1000000	57000	418660	true	99
1000000	57000	418660	true	0
1000000	57000	418660	true	100
1000000	57000	418660	true	0
